Username,comment
Stephen Mutisya,Democracy in ODM is at crossroads! Brave yourself for tough and rough times ahead!
Ebs Anarclate Omara,That's how  Kenyans felt every time you used to respond  about police brutality.You never listened to us.It is your time.
Steve Mbugua,Raila is a dictator and odm is a one man show so many politicians have suffered because of him lots of intimidations and frustrations is the nature under him...
Dismas Odhiambo,"You former police spokesperson,am praying that you should fail terribly in that race of governoship in Siaya.The way you used to defend police officers when they were killing innocent people before, during and after general election of 2013 and 2017, You...! You don't deserve any political set in any part of Nyanza province!"
Patrick Muthii,ODM is a family affair and the same old mzee pretends how he can rebelate this nation God forbid!!!
Kipchoge Sigei,Who told you paying for nominations guarantees you party primaries.  This is ODM ..D is silent buana..Raila being a  constant
Sammy Wafula,It's time you guys start shedding off odmaniac and survive with other parties that embrace competitive democracy!
Warui Kimaru Jr.,"Welcome to the world of politics Mr policeman, where betrayal is permanent"
Elijah Arap Koech,Democracy and ODM in one sentence is comical
Sylver,"Once you join ODM just be prepared for dictatorship, there is no democracy in ODM my friend"
Yegon Kipsang Peter,"ODM is a family party ,"
Nyamolo Dickence,"This is because of your hard eyed lies n denials on everything when you were the police spokesman.Police were killing, maiming, arresting and brutalizing Kenyans as you watched but maintained that there was no problem and that you were not aware  #OnyaliKabisa! Peleka hiyo mambo yenu ya Assmio-Oka-Odm mbali kabisa.Shenzi sana! Sisi tuko na Kiongozi bora anayefaa Kenya William Samoei Ruto na UDA.Kweraaaaa!"
Adiskin,"ODM continue to hold Nyanza people captives and denie them visionary and determined leaders line Charles Owino. Giving out direct tickets to Old, tired, cows and confidants who worship Raila and have poor track record give you an insight of how ODM is undemocratic !!"
Real Vince,Wewe nyoroshwa kabisaa. Mtu bladifakin sana. I remember this guy twisting police brutality. Those innocent people whose lives were cut short will sure hunt you.
Clinical Geff,"ODM has its puppets that are meant to shadow  democracy!!!!!!  Why ask you to drop ,,can't they see that you have a right  as a Kenyan!!!!!  Too bad you come from  such fixed areas!!!!!!!!!!!!"
Obadiah Nyakundi,You were the police spokesperson when baby pendo and others that the police killed innocently and when asked you used to defend even nonsense killers to prevent your job. The way you feel now is the way we felt at that time.
Wainaina Patrick,This is called negotiated democracy 👌. It's quite in order. I can't dream of ODM without SC James Orengo
Sparta Hommy Kenya,This guy called Charles Owino deserves no leadership seat in this country he doesn't have humanity in him.
Moses Ouma,You used to spit nonsense whenever ruthless police killed innocent souls. Baby Pendo won't let you earn even a quarter of the total votes cast.
Alex Muyodi,ODM is a family property that doesn't understand the term democracy.
Alex Mathei,"Those are the effects of the recent political party laws,,which odm and jubilee wanted to use inorder to humiliate members who may be feel shortchanged... UDA fellows warned you"
Kaniaru George,"Thank you Owino for realizing how the ODM is a sect owned, managed, and controlled by the ""chief priest"" and his second half as well as family. The song about democracy in it, is strange and the worst of its undoing is the followers who worship the ""high priest"" and his lieutenants, but the time has come for sound future minds like you and your big following to move away from that authoritarian sect."
Wan Eddie,Democracy must prevail.
Joshua Wauga,"Kindly please siaya people,vote for this team"
Bura Simon,"provided you get your funds bk , there are individuals who have contributed much strengthening the party it's  good the party considers their efforts , and  I support defeating them during the G elections  not in party primaries where few people are involved ."
Ian Maulo,"Baba will be voted in as the president yes 👏but ODM is puppets, they aren't showing any form of democracy , issuing direct ticket to some members in the name they are famous for example Rasanga as a governor in Siaya has failed terrebly ,in his tenure of 10 yrs nothing has achieved .Poor infrastructure in Siaya,por healthy facilities , insecurities etc Siaya town is like a local trading center , another victim is Orengo Bure kabisa."
Vanelis Onyando,ODM's culture... hii ni mbaya let us have a free and fair nominations.... its now a friends party for rewarding afew individuals
Washingtone Ndeda,That's how Ur home party behaves Mr police officer owino
Oscar Abwoga,"We knew a time like this would one day come when you would need these guys,can't even imagine the utterances then, Inaitwa day of reckoning, Anyway hii ya Siach wachana nayo as HE The President already solicited for The Former SG.Raphael Tuju as a reward for his loyalty."
Maureene Adhiambo,"Why don't you vie as an independent candidate. When people love you in the line of leadership skills & manifestos, they will just vote in irregardless of the party."
Ochieng Jah Asembo,If you want peace never compete with James Aggrey Orengo.James  Orengo has played a wonderful role in Raila's bid to Presidency. So James Orengo should have the opportunity and be given a first class priority  to vie and  lead the people of Siaya county. Period.
Eric Mboya,You should thank the party I hope u will get back ur money. You didn't stand a chance...
Charles Rono,Democracy is expensive even in the most controversial quarters
Bro Rodgers Ekesa,Now he has moved to UDM does he become former???‼️
David Oguna,"During Owino's and kiraithe, police were killing luos and duo classified those death as rambo movies, obadhi"
Paul Nduati,How did you expect to compete with James orengo in ODM
Atanas Atanasi,You were conned by raila odinga. Pole
Mohmoud Zaibu,You still can't make it i would wish to advise you guys go for MP seat first ..juu nikunoma.
George Owidi,You start airing dirty linen in public. Colluding with UDA linked nation media. Let's meet after 9th. And your political future is at doom. Ask magwanga and Dalmas kalausi.
Isaiah Mwangi,"Waooow, i knew this gonna happen i watched the state of the Nation where senator Cherargei and Wamatangi advised you to expect this"
Gerald Ndegwa,Its survival for the fittest out here....u left a well paying hob full of hadouts   to face angry kenyans..........adjust your safety belt...
"Samoei,The Great.","In odm, highest bidder wins Raila the democrat😝😝"
Ezekiel Tanui,ODM has it's owners
Ngetich Glaziers,You were undermining ODM in 2013/2017 iam i right?
Nyakundi To,Remember how you used to respond to police brutality.
Kamau Thiru,Politics is not a gentleman's game when will people understand this
Evans Onsarigo,"Even your former job,you follow chain of command,why didn't you go for mca or mp??or you forget that youre just apoliceman"
Yatich Solomon,What khalwale said is absolutely right
John Lee,That's good move sir.i would have like you to vie for an mp.seat for you to legislate in parliament you are a good debater
Cornelius Mabonga,"There is no democracy in ODM,party leader is a conman and a dictator"
Peter Ngoye,We are with this team all the way nyaka pier aora
Kogo Benard,"How unfair,partial,corrupt and  undemocratic ODM is spares no individual. The former NATIONAL POLICE SERVICE spokesperson thought he would be an exception but felt into the jaws of the party and got gnawed too."
Nicholas Owino,You were rescued you would have got a humiliating defeat
Evance Opiyo,"Charles Owino the way you've been mistreating Luos when you were on the other side,even if you join Ruto you can't get any seat in Siaya."
Kirimi Kinyua,Democracy at its best
Franqy Nyatindo KE,"What has Owino done to the party that makes him feel shortchanged?  Let him vie with UDM,UDA ama hizo upuzi zingine ashinde naye. They want to bring disharmony to a process that has taken others sweat to create."
Justine Elijah,"Continue playing hide and seek out there ,, Kenya Kwanza to win for presidency and UDA to dominate"
Oduor Odhimbo,Toa siasa huku. You were the police boss when many luos were killed including baby pendo
Wycliffe Kariuki Bruce,That is what odm is...and has been.
Jamlick Maina,You could have asked Wanjigi what he saw but in ODM no democracy
Dan Mokua,"Kumbe you have feelings now,cry,yell or both or anything-there was a time we felt bad but you never felt.Feel now, feel it and that's how it feels."
Simeon Kosgei,"I wish he could get a chance, he is a good leader even when he was police spokesman"
Kevin Muema,Political conmanship from the self proclaimed father of democracy
Dennis Musheba,Odm party is a  personal property of Raila odinga and the highest bidder is the one who wins the ticket
Fredrick Andere,"I'm not interested in politics, since my life time I make ends meet by myself. Hii ya prezo is all I am interested on. The rest doesn't deny me sleep 😴"
Cheruiyot Caliph,"All the best,how I wish I could have vote there"
Paul Wekalao,"That's normal with ODM wait by 2/042022, better you that have been settled earlier,hapo ni KUZIMIA mheshimiwa"
Agunda Maurice,"The combination of Gumbo and Charles Owino will win the Siaya race,we must teach ODM a lesson in Siaya."
Alfred Oduogi,"B brave, resigning from police force, u must have prepared for anything,.hivo ndo vile ulivyo"
David Mugo,Here you will b issued with orders .. contrary to where you used to issue the same.
Mwihaki Hegel Fredrick,"You have been a Police spokesperson. You and politics have been alienable. So , in politics , character development is very real.."
Erick John,The same pain we are feeling in Homabay right now but if it's true then wait and see. We don't care...
Christopher Were,Mr owinoshould have been subjected to nomination with candidates for democracy to prevail in siaya
Stephen Wambua,"The police are going to investigate those allegations, anybody with helpful information should report to the nearest police station 😂😂😂"
Hillary Muarsenali,When miguna speaks the truth about your god's ( raila) you pretend you're raila is a good leader..
Joseph Mc'Oluoch,But I heard him say he wouldn't have any problem shelving his ambition should he be prevailed upon to do so by odm party
Mugendih Wa Njiru,"What is impressing me is that some politicians are selling Raila in his rallies, but huku vijijini wanahubiri a different person. Tûthiîte oro-wega"
Hesbon Anasi,Relax nothing can be successful without discipline
Mutugi Sars,Yes when orengo was building odm u were in government 2007 giving orders he has fought many battles for odm to compete with anyone meza wembe wako pole pole
Shemeji Ni Mboga,Nurse your paltry pension in peace. Politics ain't your potion.
Willy Tsomi,Not you alone many are crying.ODM is someones house
Roney Odhiambo Wuod Adhiambo,Your 2017 deeds will judge you harshly you are bad omen in Luoland period.
Josphat Ruto,"The democracy in odm is baba, so he decides who is to rule,owino things are different kwa ground"
Fred Ongonga,"We know you,Raila still can't forgive you,you failed a luo like you,hope you're aware your demotion and lack of morale to resignation was a revenge mission, though that course you've taken might propel you."
Steve Aeneas,Bwana stick to police issues
Neil Irungu,This political Field not  in forces you will get use to
Natalia Joy,"Yes that's better for Nyanza if they have another party, it will be a fair competition"
Chris Simbiri,You were asked NOT forced to step down. And you are just a late comer who was teargasing us every monday. You are bright fellow build your political career in a national party. You never know you could be the comptroller of state house thus improving your electability in 2027
Berndkham Mambo,"You can't separate ODMnism from Raila and Raila is ODM,,,,your not the first Victim just wait and see many more crying like you,,,,,DAP-k party that is small branch of Jubilee ,ploted in western to finish ford kenya and ANC are also shedding tears on same ,,,Raila will give direct tickets to all ODM aspirant  in Siaya,Kisii,kisumu,,,,no Democracy in Azimioniz party,,,,Jubilee imewasambazia betrayalnism"
Sylvester Onyango,That's what they do to aspirants
Juliusmmaina Maina,It's just the beginning!!! Just wait for the most undemocratic party u have ever seen
Fred Jaseme,Charles Owino.... We know you fear nominations ... And very afraid. You can't retire from police and expect Odm would  simply get you  where you want. You must work for it.   Who knows you are a UDA sympayhiser
Jeremy Okach,IF YOU ARE POPULAR YOU WILL ELECTED ON ANY TICKET. It doesn't have to be ODM.
Benard Were,That heat will be again touching my busia governor otuoma
Richard Torome,"That party has owner, you should learn to accept that"
Chesoni Arap Kosky,"Odm needs cows, you can't fit there if you are not like a cow Even junet announced for All to know"
Benson Wanyama,"I think you been this in government,what did you left there you want to collect now when you are a governor boss?."
Otieno Brian,"Governor pap...we must resist Orengo nkech oonge maendeleo, Oburu should not get even 5 votes, jokma Bure nwang'o yot"
Lucy Lonne,"Even if you move to UDM I won't vote you,hatujasahau what you did"
Aleky Snr,Should have stayed in the police service
Simon Rutoh,"Join another party immediately, time is running out. Know your parties and their motives, ways and hopes before dancing in it"
Evans Barasa,The party of impunity
Kevin Joseph,ODM is a shell of itself
Amenya Geoffrey,Democracy in ODM is a big challenge
Sheriff Sparsha Hunsel,"Since you believe and worship odm as if it's your God ,,, kuleni ujeuri wenu..."
Ronald Kisuli,Depreciate political language and police 👮 orders you must come here and follow the party's chair directives otherwise come with your political party.
Joshua Otieno,"So as you'll be hunting for your votes, those your people will come out in good numbers to vote for Baba too, what a strategy Mr police,"
Brian Ochieng,ODM is no longer a party..
Tuffy ENc,In babas camp it doesn't matter if you are a killer or a shooter as long as you a true supporter of Raila you are given a direct ticket contrary to what he says he fights for...democracy at it's death bed...all those candidates who had even paid the fees where will they start now and they had even mobilized people in the name of odm to be elected...the patron preaches water while drinking wine why would you give direct nominations in this time in this state of politics let people try out their luck but it is Raila in his electorate areas they will still allow this....😂😂siku moja mtapelekwa kwa shimo na hamjui Canaan bado hamjai fika...psychophants
Kogo K Felix,No transparency in ODM
David Ogara,Politics is a dirty game.  Those who can't learn from history learn from experience 😝
Odhiambo Stephene,Charles Owino defended the police brutality witnessed in several NASA demonstrations
Sam Wasike,"This is what will kill ODM one day.If you don't shout Baba's name well,you stand no chance.But the fact remains,Baba is the man of the people and Ruto will be the President"
Moses Mayenga,i thought odm had no prefered candidates coz they gonna have nominations the best candidate to win
James Kobia,You lost big job for trial.
Babu Babu,"This time we are not eating parties but we are enjoying good fruits from good leaders, no matter if you join safina☔"
Hosea Kipchom,So all nyanza are ODM no UDA.from next week i will be in kondele kisumu i will shout UDA NA KUTEMBEA POLE POLE
Tip Tip,Apo odm wil loose they wud hv allowed nominations there
Oscar T. Mugambi,So sisi ata kwenda kuvote is totally waisting our time
Hilary Mwaniki,True meaning of ODEMocracy
Elizabeth Atieno,You didn't pay the whole amount.
Hillary Okoth,A Good decision.
Ziskey Bellarin Kenduiywa,In any Political equation there is always someone being used.
Lawrence Cherirey,No longer police spokesperson boss 😃😃😃😃🏃🏃🏃
Gava Lamo,Last week the Nandi senator told him to lower expectations. I hope he did
Maloba Shown,"Charles owino was used by the state to brutalize luos in 2013 and 2017 ,he didn't have Raila's interest at heart he now want to use the same raila to clinch the gubernatorial seat ,let him go home .The next siaya county CEO is James Orengo"
George Njeri,That is an offence...
Fredrick Nyamweya,Democracy in ODM
Musyimi Leonard,Remember police brutality.....me even under wat party....I can't vote u...
Luiz Moreno,Charles Owino and Gumbo you have my vote
Churchill Ochieng,You are not popular and we as odm we need numbers in both the national and county assemblies
Michael Mickey,"The history will  repeat itself, remember in  2013 odm nomition ,the person who won , williams omondi , was rigged because he beat raila brother oburu odinga,the outgoing governor Rasanga wa distance that ,omondi and oburu hata over 100thousands votes but Rasanga had like3000 votes only, because of raila he opted to  choose Rasanga over omondi ,raila influence made Rasanga governor,that can't happen  anywhere except luo nyanza."
Sue Kerama,What have you ever done for ODM anyway 🤷‍♀️🤷‍♀️🤷‍♀️
Clifford Wicky,It's not News in ODM we knew it
Mathew Otieno Okongo,Homabay should be left for the people to decide
Albert Sinja Barasa,When you. Were hauling teargas to Baba what do you expect?kwanda kabizaa
