Username,comment
Mzalendo Mzalendo,"Ruto holds political meetings in his official residence in Karen, which is a GoK building, but he is advicing Uhuru to stop holding political meetings in Statehouse. Both Uhuru and Ruto held political meetings in Statehouse in the 2013 and 2017 campaigns"
Soyinka Lempaa,Stop using the Church and Bodaboda to cause disharmony in the country Ruto
Exaltdesign Emmanuel,Kenyans are more united than ever to ensure we r correcting the error the flag🇰🇪 can go to other counties too first .
Tom Bens,"Just wondering when someone uses your political podium to insult luos how they are not circumsized and how they cannot rule and you are all clapping..What is disunity then?? NTV,what is disunity??"
Nderitu M Simon,"The once lameduck President  according to Tangatanga has now metarmophised as a threat to their selfish ambitions,watajua hawajui."
Jane Wambui,"Uhuru fears Raila's hooliganism,he has told us severally to elect Raila for the sake of peace.The criminal justice should be used against Raila should he preach peace.We are electing Ruto on merit and his ability to deliver good governance"
Oundo Stephen,"Our dear Heavenly Father,may you grant us in August with leaders who will work together for the betterment of this country.Leaders who will understand our plight and endeavor to lessen our tribulations.Leaders who will not be at loggerheads with each other.Amen."
Peculiar Cate,"But UK hinted at this long ago at Bomas when he said, in WSR's presence, that he and his deputy were running a relay race, and instead of WSR waiting in line, he ran back to get the baton!"
Kennedy Njuguna,When ruto meets gema in karen it's promoting unity but when uhuru does the same in state house it's disunity.Ruto should concede he has lost the battle and wait 2042 after kalonzo
Patriotizer Ogian,"Uhuru will regret burning this country, as a man enough,he should retire peacefully and leave kenyans to decide for themselves on who to elect, We citizens should be very watchful, these greedy politicians will make us turn against each other for their own good, we destroyed our past and we are busy destroying our future under the the influence of these inhumane politicians,.......let stand together..... brotherhood and sisterhood is what will make our country change"
Johñ Muiruri,It's only in Kenya where snake oil merchants can advise the Pointiff.
Jacob Nyaundi,"Irony, Ruto uses Karen government house to create disharmony in the same government he serves."
Michael Musyoki,"Looto behaves as if he's the unity of this nation, having been sidelined by uhuru doesn't mean Kenyans are not together."
Ochieng Onyango,"Someone has been using his official residence to creat hatred and disunity for the last four years, turning it into a private campaign headquarters! He hosts the bitterness vengeful lot there every single time yet he is critical of the president for using the statehouse."
Ray Eric's,He should even tell Uhuru to stop sending bad signals on tribalsm and let people decide on which person to vote in
Kim Wajoseph,Surely. Would Ruto if elected  wish to have a  deputy  who gives him orders. Greed for power is what as destroyed  Ruto.hes the worst V.p kenya have.. He's now giving  orders to his boss. History  will judge me if Ruto becomes president with such behaviour
Dennis Masiga,You also stop using state resources to spread lies about the government
Mohamed Bariyow Haji,"War against the President by his deputy, who has been complaining against him for the last 5year  ,undermining and sabotaging and rubishing the President legacy of peace ✌ unity and development."
Harry Assien Kabui,UHURU should go home peacefully his propaganda strategies won't work  and we know he is the real thief together with his family
Glam Shine Nakuru,I pity poor Kenyans😢how we reason and see things are just way far from reality. I pray one day we shall wake up from our dreamland and face our real problems rather than worshipping politicians as our gods.😢
Mum Amani Nyar Oyugis,"If we would realise that you can only become deputy when the president wins 🤗 someone wouldn't talking I'll of the president. Anyway I have never voted, does the deputy president appear in the election ballot papers? To be marked?"
Chrisanctius Migono Migono,"The president is busy with big four agenda and peaceful elections,has no time for rogue DP who's busy dividing Kenyans along tribal,ethnic lines. Fanya jujo uone,wembe ni ule ule."
Fredrick Onyango,"Karen home is also government property, stop those gathering in public property io nyumba sio yako."
Mckennah Doryn,Uhuru is preaching peace n unity....
Walter Oloo,Uhuru should atleast learn to spare his deputy and speak on something different. Ruto should as well learn also to campaign without being bitter of what Uhuru is doing for him as if people are not aware. Raila should not have any concern or part on differences that is between the duo.
Jeremiah Muchemi,Money warmth belittling the love of a country.
Wafula Oscar Munialo Kikayi,"Am fed up with this political alegation of abussing each other, we should be in another level politically, just say the positive development you will bring to citizens not abussing anyone and you will make it."
Abraham Ibrahim,"Why can't ruto move on ???,why is he forcing ouhuru to support??can't he utilise mudavadi???"
Benedicto Musiomi,This guy is amazing! What hypocrisy. Does supporting Ruto mean uniting the country?
Hillary Okech,Ruto has come to reality that roundi hi his men of dirty jobs will not be allowed by government to rig again for him
Kim Shiriz,No need to tell him! The guy is a dictator and will never promote democracy at any point!!! We have seen how Allie of daktari hav been mistreated!!!
Antony Nyamori,It seems you have no agenda nowadays you are lamenting to huru instead of focusing on your manifesto remember this time there's no sympathy votes for you.
Duke Bosco,You were sent off as one of those mechanism to bring about unity in the country for you had divided us.... We thank God for the handshake 🤝
