Username,comment
Mac Prince Otani,The ex who has refused to move on.
Sky T Karish,"Uhuru are those wives who calls for a divorce , when it succeeds they sue you over negligence and child support.  Ruto dunia uza Jesu even after feeding them."
Mzalendo Mzalendo,"Dear William Ruto, Supporting Uhuru Kenyatta unconditionally when you pocketed 7billion, a deputy President position, and half of the government? Stop taking Kenyans for fools. Raundi hii hakuna wajinga wengi Kenya.😳"
IV Sheikh Anwar,"The truth is in 2012  Ruto needed uhuru more than Uhuru needs him. Uhuru helped him at the ICC with the kenyatta family connections. Uhuru gave him his British lawyers after Ruto struggled there with his local lawyers. If you didn't stood with him, he could have team up with others, in 2012 Uhuru had money and Mt Kenya votes."
Wamboi Wambo,"Very true but don't worry malipo ni hapahapa duniani,be strong we will vote  you, Ruto all the way and we love you no matter what vigeugeu are saying"
Felix Mariera,Ukiachwa achika
Katanu Gladys,"When the divorce occurs that all and you can't force yourself to somebody who don't need you ,infact you should that God coz from 9th Aug will be having a very powerful opposition Kenya has never experienced before"
Musir Juma,"Wacha kulialia mwanaume. Politics is dynamic. Eve Saitoti was told by Moi ""URAFIKI NA UONGOZI NI VITU TOFAUTI"" Any president would wish to leave his country to a responsible, capable and safe hands which yours are not. Pole. Surgoi beckons."
Joyce Goga,"True even Raila supported Kibaki to be president of Kenya but Kibaki never supported him back  ,its normal in politics just try and address the issue of president assassination"
Cynthia Daisy,"This is the kind of opposition we as country will be having full of cry babies, very weak indeed I think Ruto said uhuru has only one vote which doesn't not add anything to UDA because he has numbers,what has happened"
Julius Katutu,"I think you have been in this country long enough to know that we run politics of betrayal, convenience and self-interest. I propose you ignore and move on, the finish line is so close that you can only focus on the ultimate."
Davie Doh,The DP should stop blaming the president for supporting another person. He should otherwise prove to Kenyans that he can do it alone without the president. If he was a major factor in 2013/17 victories then why not now? Sense of defeats have started showing up.
Kennedy Njuguna,"If it's about paying debt let's start with the one of jaramogi in 1961 then we come to raila of 2002 where he assisted kibaki,then 2007 for kalonzo standing with kibaki and the now we come to ruto....let's be sincere to our debts so that other communities can trust us the Mt kenya"
Mathiew Michiemo,"This guy keeps talking of the past,nilisaidia Uhuru blabla,nilisaidia   Raila blabla as he,s the only leader who has undergone betrayal.Rao said kibaki Tosha without conditions and the price he has paid up to date is Betrayal,simply accept and move on,otherwise u r becoming a bad example to our upcoming kids"
Erickoh Mc Osidha Junior,And you got half of the government. Arap Mashamba must tell his supporters the whole truth
Taa Andy,"So what now, we voted for the two of you then though you caused us a lot of pain, we opted to learn our mistakes silently. We have not flooded the media with regrets. We choose to be quiet because in quietness you are considered wise. So you can emulate us also and it will be fine.🙆🙆🙆🙆🙆"
Edwin Mwema,Imagine ruto u stood by him when all those he has now were against him!take heart ruto we are very much with u !u r the next president !uhuru kumi ruto kumi
Kariuki Welding,Boss accept and move on..we are tired of your repeating topics... don't you have any ather agenda to convince Kenyan... Uhuru already move on..
Erick Moturi,"My friend stand with people in Baringo. They're dying of malnutrition, hunger and curable diseases like malaria.  Give them money, since you want them poor. You told them to plant avocado yet you import maize.   Then give them wheelbarrow, it doesn't consume much oil.   Don't lecture Uhuru."
David Gakure,"He didn't help Uhuru, he fought to be in the government!"
Erick Mcmig,"He was paid for his support,   ICC catered for,  given half government which he used to loot when those friends were not there.  His support was not genuine,  used it to ascend to power and loot."
Selah Ondiko,"You stood by him but then you failed in your duties and also turned against him. He was light to carry, you are too heavy."
George Warren,"Criminal case against humanity put you together in 2013 where pple were slain others burnt 🔥 to ashes, so don't jost to us,we know what brought you together bwana!"
Ronald Rg,"No doubt Dr.Ruto is a sharp brain.A Brilliant one.But should change his strategy.Should focus more on selling his ideas and not blaming Uhuru,,makes him a cry baby.Focus on gaining votes and not crying about who does not support him.Solidify his ground and stop this thing of Uhuru this ,Uhuru that.,,,tafuta kura Daktari."
Frankline Mwebi,"But you also abandoned him for your greediness for early campaigns, and you also said ur without Uhuru's support, uav realized his importance now, when you could not listen any, when he told you to go slow on campaigns and concentrate on development , you left him four years ago ,drawing salary for no work done !"
Dan Classic,You did that for your personal gains and interests. Your standing besides him had nothing to do with the welfare of this nation. In other words you stood for yourself so better keep it between yourselves.
Noble P Migiro,Campaign my friend don't be mentionening someone is now and then call him and tell him true the phn so ur telling the kenyan so that they can fight or what.....you politics all what you thinks is ur only stomach......do you know life of common mwana inch now is in a very badly way....ndio maana wanajaa kwa mikutano thinking they will have something at the end of ur meeting....wakenya still patiwa ukora...tuuu
Man Lukumbu de Farmer,The cries of this politician reminds me of one of my ex- gal friends . It was so hard for her to believe that the contract had expired and expired forever.  Mr politician please 🙏 learn to forget and move on 🤣🤣🤣🤣
John Onyuma,"Do you think Kenyans are fools,when you joined together in 2013 making jubilee Government,what did you do,you brought ONLY kalenjins in Government positions...Uhuru choosed at least the face of kenya on his side...you think we dint see you,Now its your time to cry.Kenyans are not fools bwana...we cant trust you with our beloved kenya."
Wich Jawil,My friend what I have learned is that in politics there are no enemies and friends. Remember how Mudavadi and Wetangula were insulted you together with Uhuru. I never knew that they would have come on your side. Mandago said usiweke siasa kwa roho weka kwa lung
Thadeus Peace,"That's not enough to guarantee you support.. How did you behave afterwards. If you had worked with him, despite the opposition invasion of government, which you are crying foul, you would be enjoying support from all Kenyans"
Kioge Seline,This is how jilted lovers remind their boyfriends who have dumped them to  see if they can find a soft spot in their heart to love them again. Ruto is surely very desperate but I can only wish that he concentrates on his agenda instead of fighting for what will never happen. The divorce is sealed and he may find that he's fighting against himself. He must stop crying bitterly and exhibiting scaring  body language
Odero Atieno,"Ruto is going through alot after his evil deed been exposed by the person whom  acted as his boss/ confidante. It's nightmare, that pain cuts deep, atleast when he tells it out, i'm sure he gets some relief."
Edwin Ajuoga,"Raila stood by Kibaki when he was hospitalized,and he gave you power in 2013.So stop crying Baby kijana."
Eunice J. Kyalo,"But it's the truth in this life do not place people too close, tomorrow they will turn against you like you never existed ..... #TheStrongestManIsHeWhoStandsAlone... ~Dr. Stockman..🙏"
Evance Opiyo,Even Uhuru stood by you and his not going around the country singing that bogus song.We are tired of the same song since 2017..
Calvin Ochola,"Kwani ""I help you has become your agenda""never the less life must continue bro"
Benard Ochieng,We all know that you stood with Uhuru so action speaks louder than words
Marii Mwash,👉That how women stand with their wives & they get betrayed 😂😂so he should understand better
Barrack Otieno,"Has it become a manfesto in your campaign, pilis give us a break Mr propobanda  Tell Kenyans what you would do them Incase you'll be voted as a president in August which I don't see any chance ."
Jane Nyandori,That's why I always love being supported by Jesus Christ he will never leave you no matter the situation
Nassizu Murume,Ambia wetangula na mudavadi Hivyo
Favoured Cate,"Huyu atalia mpaka lini,he should be encouraging people to cut more trees in Sugoi to avoid his suicidal death coming August 9 2022,it will be bottom down Mr bitterness."
Paul Mwangi,Ruto sounds like a teenager when saying those words. Words of inexperience and desperation
Willy Fred Abu,"But deep in heart you know how much Uhuru helped you plus paying you billions to support him in 2013. Ruto why can't you just be honest and move on, in 2016 Kabogo said that gema community has no any debt with you. The same Kabogo who is pretending to support you."
Junior Masiwa,"It seems you're new in Politics, those whom you're containing now last election they were calling you ""Thief so elewa Siaza"
Baba Precious,In our church good deeds are paid with same goodness
Kelvian Pro,"Very true,and why I will vote for him,I love how he's humble"
Kanake Baibulu,Then you would have stood there for yourself.Unalalamikia nini Si ufanyavyo ufanyalo ukikasirika.You can't tell us alwaythat you were so important than Uhuru then.Uhuru helped so much.
Irungu Nyoike,True & the truth should be told
Gabi Oti,These sentiments are similar to that of a jilted lover. Ruto should tell us how he will improve Kenyan's lives once he become president. We are not interested in their fallout with his boss.
Loise Mwangi,You should forever be greatful to uhuru for everything he has done for you but ulimkosea sana kwa kuharibu nominations and you made sure you eliminated all strong leaders from the mountain but your days are numbered usijione mjanja sana
Arap Giteru,"Dr ruto ought not to worry, voters  knows what they are undergoing in the name of Russia/ukraine war. We shall correct the mess on August ."
Ibrahim Ibrahim,Ruto is the man. Our 5th President of Kenya. May God protect our hope🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪
Duncan Ramah Daudi,"Dear sir,I think you have cried alot.Real men don't cry.shake off your dust and try your luck somewhere else please."
Akala Danny,"Look at this political orphan, he said he made Raila Prime Minister and he made Uhuru president. but guess what he cant make himself who ever he wants 😂😂. Mr Ruto if you own mt Kenya then leave alone uhuru and prove yourself."
Jayalo Vincent,"Hii kura moja ya Uhuru pia imekuuma bradhe! We pray for you though. If God transformed Nebuchadnezer, He can transform Uhunye to support you. Ubuntu"
Michael Njuguna,"The presidency is not about friendship, its about putting the intrests of the country first and not the intrests of a friend.  #Uhuru can support #Raila and still remain your friend. In short, #Uhuru says that, while you have been his friend he has realised that you are not the right person to lead kenya"
Okoth George Omondi,"If we want to condole with and console Ruto, the best way is to convince Uhuru to submit his voting documents to Ruto. With that, Ruto will be convinced that Uhuru isn't going to vote for anyone. Besides he's lamenting of standing with Uhuru, so it's personal, why come to public mourning like a bride mourning the death of the groom minutes before the wedding?"
Bera Robin,In stead of all your speeches being about one person why dont you just win hearts than winning sympathies
George Ouya,"Raila also stood by Kibaki and drove him to hospital when he was involved in an accident.after that, tuliachwa kwa mataa!"
Mwana Wa Inya,"Sidechic spoilt this marriage and doyen should already move on peacefully, the earlier he accepts that his former political husband can't support him the better."
Obol Audho,"Ruto should stop lamenting, as a seasoned politician he knows too well there are no permanent friends or enemies in politics 🤣"
Mark John Kiyaka,"You know what happened to Raila after he said ""Kibaki Tosha"" He did not whine about it but picked the pieces and went ahead and beat Kibaki only for the victory to be stollen.  But he is going on with his life.  My point.  Just Man up"
Teridian Dol,"He is behaving like a narssist. This people, he wants us to believe he did  a favour  to uhunye yet he also benefited from being the deputy."
Vincent Mwangi,"You're all the way up. Focus on yoursel, Uhuru is past and give us what we need. Basic needs, discounts and opportunities to work and invest furthermore, pay out taxes. Ruto the 5th."
Ogunde Robert Benedict,There are no permanent friends nor permanent enemies in politics. Just the other day Mudavadi was against you. Now he is supporting you. Please tell us something new.p myapa
Were Hill,Don't expect anything in favour of wht you did. This is a world of interest and change is inevitable its human nature. You have to fight your way out now that you know their position.
Flora Mugai,Stop lamenting and move on that's what real people do . It won't change anything ama you are looking for sympathy vote? As you politicians say no permanent friends or enemy in politics.Tell Kenyans what you do for them leave Kenyans to decide.
Kianangi Jnr Kj,"Jesus was betrayed by judas with 30pennies & he completed his mission to save us from our sins,we voted for uunye 3times multiply by 10yrs =30 the amout of money judas got  .  lord save us from dynasties."
Francis Wachira,You stood with the president because you're expecting something in return. Your loyalty came with a price tag attached to it
Wicliffe Ongoro,"It seems dee pee has never understood Kenyan politics, my friend our politics are betrayals in nature"
Mass Jasiru,We relax bwana. You are not the first  politician to be betrayed.  Accept  and move on. We also  need other tribes also to lead this country. Kenya so ya tribe mbili peek yake. You time will come  but  not now. Leadership need patience end tolerance.
Gumba Bruce,By killing Msando n the innocent lady for Uhuru to be President.what a bloody leadership.
Jayne Waithera,"That line is old...come again selector.   Zile ma divorce we have seen in this country,couples who spent millions to have a colourful wedding, made vows before God and man 😴🥶 to stick together against all... hii talaka yenyu...mambo madogo haya"
George Gosho,"What is the big deal if ICC customers came together to make noise to avoid facing law? Chairman of lies, you were there to protect your dirty 'ginene' not just absolute love. You pocketed some lump-sum payment. You were bought. Stop shouting lest you provoke them to share the real hard stuff."
Joyce Mwareri,You fought for you to be in the government come-on mr opposition leader come August
Waithaka Ken,"When Uhuru was pleading with you to first work and deliver the promises you had to the people and wait for time to politick you didn't listen, instead you were chest thumping claiming nobody should tell you what to do and what not. So Cool down and relax."
Odiush Nyaburu,You can only state exactly what you came with in that marriage which you need uhuru Kenyatta to give you back so that you can go in peace without looking back
Baba Felicia,"William Ruto you have always told us that you made Uhuru President , then it's your time to make yourself President .   Your central Kenya supporters have made it a chorus how the ground have shifted , wewe uliwachwa wapi ground ikishift ?   Why does Uhuru's one vote bother you yet you have in many occasions reminded us that you don't want anyone's endorsement , that you have people and God ."
