Username,comment
Olchore Lekulei,"And this news item is advised by the release of his poster, only that it cannot be posted for professional reasons."
Polycarp Hinga,The news here being ... ?
Erique Sang,"This guy is the senator in a county where billions of money meant for two mega dams was stolen, a county where insecurity is the order of the day, and instead of addressing this challenges facing his people, he is busy selling wheelbarrows around the country. Well  let me not judge him cause I know he will be elected"
Godfrey Nderitu,The undisputed one.He 'll be unopposed like Ichungw'a. He doesn't even campaign.
Kiplagat Hillary,"The only senator in Kenya representing three counties (Baringo,E.M.C & Uasin Gishu)#Kipchumba Murkomen"
Dickson Ijeji,"Incoming majority leader in Kenya kwanza government,all the best people's senator"
Nikeddie Makokha,"Marakwet people need security, that is the news you should be updating us on what is being done to keep them safe."
Michael Michael,He has discovered the 2022 election outcome
Brendah Nyanduko,I thought Ruto was going to reward him one of the CSs in gvt or a major role for being a loyal member of UDA
Odero Atieno,"This is the only unique leader not led by greed, some mca's making a stop at governors seat"
King Shattah,Mh n Azimio Die-hard supporter but i like Sakaja and kipchumba I wish they could be in Azimio ...True leaders not politicians
Mulunda Francis Job,"UDA die hards are being advised to go for senator. Where they don't control money. Ruto is wise, his fighters will see fire."
Wangari Esther,He should be sworn in like yesterday
Zedricck Chemurrsoy,"He's SENATOR for Baringo, West Pokot and Elgeiyo Marakwet combined"
Evans Lekon,"This Guy shd be voted out, he is a sycophant of  Ruto but nothing good for the elgeyomarakwet people."
Patrick Jaremba,Just mouthing why can't he go for governors seat tumtambue bure kabisa
Hillary Balala,"This is not News, it was obvious,News are mean to inform us on what is new and  Unexpected..I wish it could read.... "" Kipchumba Murkomen to defend his Seat on ODM Ticket after falling out with D. P Rutoh.. """
Hassan Omar,What is the work of senatorial and women rep such useless offices
Mburu Gabriel,Already a senator even before election
Senior Eagle MK,"Sometimes have respect to the super senator,who represents 3counties,you must write in capital and start with HE"
Mic Mik,We need him in the senate.A great law maker
Sigra Vincent,"My senator here in uasin Gishu County, we voted for you in 2017 and that one was meant for the next 15 years,,,,"
Keli Raymond,Is this news surely!  NTV announces to you the sun will rise tomorrow in all parts of the country!!
Simaton Loyara Kipchumba,He should be sworn in as the first UDA  Senator elect...
Jijgff Kuona,He can even vie for senate in Baringo and will win unopposed
Karim Kip Maiyo,"Even if he wasn't he would have been forced to, the people's Senator."
